Date,Positive Return,Actual Value,Return
2019-09-06,0.0,1.0,-9.379347606630617e-05
2019-09-09,1.0,1.0,0.004267109094763688
2019-09-10,1.0,1.0,0.011813040112654384
2019-09-11,1.0,1.0,0.031795106076047075
2019-09-12,0.0,1.0,-0.0022362360042459395
2019-09-13,0.0,1.0,-0.019454015908975556
2019-09-16,1.0,1.0,0.005257114955357078
2019-09-17,1.0,1.0,0.003638031259493468
2019-09-18,1.0,1.0,0.009379281163760966
2019-09-19,0.0,1.0,-0.008124960829017258
2019-09-20,0.0,1.0,-0.014618079689465381
2019-09-23,1.0,1.0,0.0045469412234910855
2019-09-24,0.0,1.0,-0.004754976861363613
2019-09-25,1.0,1.0,0.015389591217531915
2019-09-26,0.0,1.0,-0.005157668171489882
2019-09-27,0.0,1.0,-0.004866033327571406
2019-09-30,1.0,1.0,0.02353529715796876
2019-10-01,1.0,1.0,0.002768206071386059
2019-10-02,0.0,1.0,-0.025067855718530097
2019-10-03,1.0,1.0,0.008494704755751092
2019-10-04,1.0,1.0,0.028031822195933254
2019-10-07,1.0,1.0,0.0002202680629390663
2019-10-08,0.0,1.0,-0.011714981461773966
2019-10-09,1.0,1.0,0.01172016468068948
2019-10-10,1.0,1.0,0.013478384244579368
2019-10-11,1.0,1.0,0.026598333145215317
2019-10-14,0.0,1.0,-0.0014394462004801989
2019-10-15,0.0,1.0,-0.002331741231840434
2019-10-16,0.0,1.0,-0.004037107672372087
2019-10-17,1.0,1.0,0.0038827652048820656
2019-10-18,1.0,1.0,0.0048028089454068565
2019-10-21,1.0,1.0,0.01734271300374624
2019-10-22,0.0,1.0,-0.002286756498816156
2019-10-23,1.0,1.0,0.013418844273302756
2019-10-24,1.0,1.0,0.0016449098088704428
2019-10-25,1.0,1.0,0.012316282032384551
2019-10-28,1.0,1.0,0.010017037887749993
2019-10-29,0.0,1.0,-0.02312792489477689
2019-10-30,0.0,1.0,-0.000123304616403197
2019-10-31,1.0,1.0,0.02260955407464427
2019-11-01,1.0,1.0,0.028380820764123408
2019-11-04,1.0,1.0,0.006567088686117106
2019-11-05,0.0,1.0,-0.0014368742415048483
2019-11-06,1.0,1.0,0.0004277421906191403
2019-11-07,1.0,1.0,0.008513460288234853
2019-11-08,1.0,1.0,0.0027368538438174994
2019-11-11,1.0,1.0,0.007918803115997797
2019-11-12,0.0,1.0,-0.0009154109106738195
2019-11-13,1.0,1.0,0.009581653105434018
2019-11-14,0.0,1.0,-0.006919448571932718
2019-11-15,1.0,1.0,0.01187935936328599
2019-11-18,1.0,1.0,0.005042129322136768
2019-11-19,0.0,1.0,-0.003032562860668109
2019-11-20,0.0,1.0,-0.011641466085997254
2019-11-21,0.0,1.0,-0.004483425148506304
2019-11-22,0.0,1.0,-0.0008778709887223847
2019-11-25,1.0,1.0,0.0175337931060211
2019-11-26,0.0,1.0,-0.0078086368975249796
2019-11-27,1.0,1.0,0.013432167990434564
2019-11-29,0.0,1.0,-0.002202794003724251
2019-12-02,0.0,1.0,-0.01156219396778535
2019-12-03,0.0,1.0,-0.017830070373192175
2019-12-04,1.0,1.0,0.008826278356527606
2019-12-05,1.0,1.0,0.014671034160473884
2019-12-06,1.0,1.0,0.01931623293239615
2019-12-09,0.0,1.0,-0.014000140914535386
2019-12-10,1.0,1.0,0.005844438334018376
2019-12-11,1.0,1.0,0.00852941721408218
2019-12-12,1.0,1.0,0.002548297335017491
2019-12-13,1.0,1.0,0.013593172318421942
2019-12-16,1.0,1.0,0.017117904995666008
2019-12-17,1.0,1.0,0.001965333878853448
2019-12-18,0.0,1.0,-0.002389406294298069
2019-12-19,1.0,1.0,0.0010009251057108148
2019-12-20,0.0,1.0,-0.0020712327513066064
2019-12-23,1.0,1.0,0.016318342108338383
2019-12-24,1.0,1.0,0.0009506655410982391
2019-12-26,1.0,1.0,0.01984034497629028
2019-12-27,0.0,1.0,-0.000379482831744049
2019-12-30,1.0,1.0,0.005935132136485333
2019-12-31,1.0,1.0,0.007306548309154116
2020-01-02,1.0,1.0,0.022816319926071804
2020-01-03,0.0,1.0,-0.00972203551987938
2020-01-06,1.0,1.0,0.007968245219206693
2020-01-07,0.0,1.0,-0.004703046037163094
2020-01-08,1.0,1.0,0.016086288271489613
2020-01-09,1.0,1.0,0.021240813976545425
2020-01-10,1.0,1.0,0.0022607036734636488
2020-01-13,1.0,1.0,0.021364370733372832
2020-01-14,0.0,1.0,-0.013503277683875936
